,# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,sp
0,GCF_000069185.1,PRJNA224116,SAMEA3138276,,na,561007,36809,Mycobacteroides abscessus ATCC 19977,strain=ATCC 19977,,latest,Complete Genome,Major,Full,2008/03/01,ASM6918v1,Genoscope,GCA_000069185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1,,assembly from type material,na,Mycobacteroides_abscessus
344,GCF_016592155.1,PRJNA224116,SAMD00265704,,na,110505,110505,Mycobacterium heckeshornense,strain=JCM 15655,,latest,Complete Genome,Major,Full,2020/12/28,ASM1659215v1,"Mycobacteriology, National Institute of Infectious Diseases",GCA_016592155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/592/155/GCF_016592155.1_ASM1659215v1,,assembly from type material,na,Mycobacterium_heckeshornense
342,GCF_010730745.1,PRJNA224116,SAMD00153194,,representative genome,53376,53376,Mycobacterium heidelbergense,strain=JCM 14842,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073074v1,"Department of Infection Metagenomics, Osaka University",GCA_010730745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/745/GCF_010730745.1_ASM1073074v1,,assembly from type material,na,Mycobacterium_heidelbergense
338,GCF_010730355.1,PRJNA224116,SAMD00153192,,representative genome,292462,292462,Mycobacterium florentinum,strain=JCM 14740,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073035v1,"Department of Infection Metagenomics, Osaka University",GCA_010730355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/355/GCF_010730355.1_ASM1073035v1,,assembly from type material,na,Mycobacterium_florentinum
334,GCF_010726955.1,PRJNA224116,SAMD00153171,,representative genome,1793,1793,Mycolicibacterium fallax,strain=JCM 6405,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072695v1,"Department of Infection Metagenomics, Osaka University",GCA_010726955.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/955/GCF_010726955.1_ASM1072695v1,,assembly from type material,na,Mycolicibacterium_fallax
328,GCF_002105755.1,PRJNA224116,SAMN06760893,,na,1041522,339268,Mycobacterium colombiense CECT 3035,strain=CECT 3035,,latest,Complete Genome,Major,Full,2017/04/24,ASM210575v1,National University of Colombia,GCA_002105755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/755/GCF_002105755.1_ASM210575v1,,assembly from type material,na,Mycobacterium_colombiense
323,GCF_010729895.1,PRJNA224116,SAMD00153189,,representative genome,28047,28047,Mycolicibacterium confluentis,strain=JCM 13671,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072989v1,"Department of Infection Metagenomics, Osaka University",GCA_010729895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/895/GCF_010729895.1_ASM1072989v1,,assembly from type material,na,Mycolicibacterium_confluentis
349,GCF_000340435.2,PRJNA224116,SAMN01918491,,representative genome,1202450,29311,Mycobacterium haemophilum DSM 44634,strain=ATCC 29548,,latest,Complete Genome,Major,Full,2015/10/30,ASM34043v3,Albert Einstein College of Medicine,GCA_000340435.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/435/GCF_000340435.2_ASM34043v3,,assembly from type material,na,Mycobacterium_haemophilum
320,GCF_010730195.1,PRJNA224116,SAMD00153191,,representative genome,44010,44010,Mycobacterium conspicuum,strain=JCM 14738,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073019v1,"Department of Infection Metagenomics, Osaka University",GCA_010730195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/195/GCF_010730195.1_ASM1073019v1,,assembly from type material,na,Mycobacterium_conspicuum
313,GCF_022370635.2,PRJNA224116,SAMN20254251,,representative genome,388459,388459,Mycolicibacterium crocinum,strain=JCM 16369,,latest,Complete Genome,Major,Full,2022/09/02,ASM2237063v3,Research Institute of Tuberculosis,GCA_022370635.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/635/GCF_022370635.2_ASM2237063v3,,assembly from type material,na,Mycolicibacterium_crocinum
310,GCF_019456655.1,PRJNA224116,SAMN20254259,,representative genome,1801,1801,Mycolicibacterium diernhoferi,strain=ATCC 19340,,latest,Complete Genome,Major,Full,2021/08/06,ASM1945665v1,Research Institute of Tuberculosis,GCA_019456655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/655/GCF_019456655.1_ASM1945665v1,,assembly from type material,na,Mycolicibacterium_diernhoferi
308,GCF_010728155.1,PRJNA224116,SAMD00153178,,representative genome,126673,126673,Mycolicibacterium doricum,strain=JCM 12405,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072815v1,"Department of Infection Metagenomics, Osaka University",GCA_010728155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/155/GCF_010728155.1_ASM1072815v1,,assembly from type material,na,Mycolicibacterium_doricum
