,# assembly_accession,taxid,species_taxid,organism_name,infraspecific_name,assembly_level,genome_rep,ftp_path,sp,oKey
130,GCF_000007865.1,262316,1764,Mycobacterium avium subsp. paratuberculosis K-10,strain=K-10,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1,Mycobacterium_paratuberculosis,0
187618,GCF_017189355.1,1185650,36809,Mycobacteroides abscessus subsp. abscessus,strain=GD59,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/189/355/GCF_017189355.1_ASM1718935v1,Mycobacteroides_abscessus,0
187617,GCF_017183975.1,1962118,36809,Mycobacteroides abscessus subsp. massiliense,strain=GD68B,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/183/975/GCF_017183975.1_ASM1718397v1,Mycobacteroides_massiliense,0
187614,GCF_017183915.1,319705,36809,Mycobacteroides abscessus subsp. bolletii,strain=GD91,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/183/915/GCF_017183915.1_ASM1718391v1,Mycobacteroides_bolletii,0
214140,GCF_021183805.1,44454,1764,Mycobacterium avium subsp. avium,strain=FDAARGOS_1609,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/805/GCF_021183805.1_ASM2118380v1,Mycobacterium_avium,0
214139,GCF_021183785.1,35617,1767,Mycobacterium intracellulare subsp. intracellulare,strain=FDAARGOS_1610,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/785/GCF_021183785.1_ASM2118378v1,Mycobacterium_intracellulare,0
208572,GCF_020412425.1,222805,1767,Mycobacterium intracellulare subsp. chimaera,strain=852,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/412/425/GCF_020412425.1_ASM2041242v1,Mycobacterium_chimaera,0
91250,GCF_002716925.3,439334,1764,Mycobacterium avium subsp. hominissuis,strain=OCU901s_S2_2s,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/716/925/GCF_002716925.3_ASM271692v3,Mycobacterium_hominissuis,0
85301,GCF_002355775.1,1124626,1809,Mycobacterium ulcerans subsp. shinshuense,strain=ATCC 33728,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/775/GCF_002355775.1_ASM235577v1,Mycobacterium_shinshuense,0
78965,GCF_002148175.1,1203599,1767,Mycobacterium intracellulare subsp. yongonense,strain=Asan 36912,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/148/175/GCF_002148175.1_ASM214817v1,Mycobacterium_yongonense,0
219445,GCF_022179545.1,144549,1766,Mycolicibacterium fortuitum subsp. fortuitum,strain=JCM 6387,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/179/545/GCF_022179545.1_ASM2217954v1,Mycolicibacterium_fortuitum,0
