sp,start,end,len
Mycobacterium_heidelbergense,1,10,9
Mycobacterium_heidelbergense,21,39,18
Mycobacterium_heidelbergense,43,46,3
Mycobacterium_heidelbergense,62,71,9
Mycobacterium_heidelbergense,87,107,20
Mycobacterium_heidelbergense,117,132,15
Mycobacterium_heidelbergense,133,136,3
Mycobacterium_heidelbergense,346,349,3
Mycobacterium_decipiens,1,10,9
Mycobacterium_decipiens,21,39,18
Mycobacterium_decipiens,43,46,3
Mycobacterium_decipiens,53,109,56
Mycobacterium_decipiens,117,132,15
Mycobacterium_decipiens,133,136,3
Mycobacterium_decipiens,346,349,3
Mycobacterium_numidiamassiliense,1,10,9
Mycobacterium_numidiamassiliense,21,39,18
Mycobacterium_numidiamassiliense,43,46,3
Mycobacterium_numidiamassiliense,53,71,18
Mycobacterium_numidiamassiliense,87,107,20
Mycobacterium_numidiamassiliense,117,132,15
Mycobacterium_numidiamassiliense,133,136,3
Mycobacterium_numidiamassiliense,346,349,3
Mycobacterium_spongiae,1,10,9
Mycobacterium_spongiae,21,39,18
Mycobacterium_spongiae,43,46,3
Mycobacterium_spongiae,53,71,18
Mycobacterium_spongiae,87,107,20
Mycobacterium_spongiae,117,132,15
Mycobacterium_spongiae,133,136,3
Mycobacterium_spongiae,346,349,3
Mycobacterium_terramassiliense,1,10,9
Mycobacterium_terramassiliense,21,39,18
Mycobacterium_terramassiliense,43,46,3
Mycobacterium_terramassiliense,62,71,9
Mycobacterium_terramassiliense,87,107,20
Mycobacterium_terramassiliense,117,132,15
Mycobacterium_terramassiliense,133,136,3
Mycobacterium_terramassiliense,346,349,3
Mycobacterium_terramassiliense,1542,1583,41
Mycobacterium_terramassiliense,1587,1676,89
Mycobacterium_lacus,1,10,9
Mycobacterium_lacus,21,39,18
Mycobacterium_lacus,43,46,3
Mycobacterium_lacus,53,71,18
Mycobacterium_lacus,87,107,20
Mycobacterium_lacus,117,132,15
Mycobacterium_lacus,133,136,3
Mycobacterium_lacus,346,349,3
Mycobacterium_lentiflavum,1,10,9
Mycobacterium_lentiflavum,21,39,18
Mycobacterium_lentiflavum,43,46,3
Mycobacterium_lentiflavum,53,71,18
Mycobacterium_lentiflavum,87,107,20
Mycobacterium_lentiflavum,117,132,15
Mycobacterium_lentiflavum,133,136,3
Mycobacterium_lentiflavum,346,349,3
Mycobacterium_florentinum,1,10,9
Mycobacterium_florentinum,21,39,18
Mycobacterium_florentinum,43,46,3
Mycobacterium_florentinum,53,71,18
Mycobacterium_florentinum,87,107,20
Mycobacterium_florentinum,117,132,15
Mycobacterium_florentinum,133,136,3
Mycobacterium_florentinum,346,349,3
