,sp,start,end,len
0,Mycobacterium_shinjukuense,1,3,2
1,Mycobacterium_shinjukuense,82,83,1
2,Mycobacterium_shinjukuense,186,187,1
3,Mycobacterium_shinjukuense,235,237,2
4,Mycobacterium_shinjukuense,238,240,2
5,Mycobacterium_shinjukuense,250,251,1
6,Mycobacterium_shinjukuense,295,296,1
7,Mycobacterium_shinjukuense,359,360,1
8,Mycobacterium_shinjukuense,373,374,1
9,Mycobacterium_shinjukuense,401,402,1
10,Mycobacterium_shinjukuense,416,417,1
11,Mycobacterium_shinjukuense,451,452,1
12,Mycobacterium_shinjukuense,472,574,102
13,Mycobacterium_shinjukuense,753,755,2
14,Mycobacterium_shinjukuense,757,771,14
15,Mycobacterium_shinjukuense,789,790,1
16,Mycobacterium_shinjukuense,839,840,1
17,Mycobacterium_shinjukuense,896,897,1
18,Mycobacterium_shinjukuense,1010,1011,1
19,Mycobacterium_shinjukuense,1068,1069,1
20,Mycobacterium_shinjukuense,1168,1169,1
21,Mycobacterium_shinjukuense,1185,1186,1
22,Mycobacterium_shinjukuense,1187,1188,1
23,Mycobacterium_shinjukuense,1190,1192,2
24,Mycobacterium_shinjukuense,1211,1212,1
25,Mycobacterium_shinjukuense,1237,1238,1
26,Mycobacterium_shinjukuense,1398,1399,1
27,Mycobacterium_shinjukuense,1430,1459,29
28,Mycobacterium_shinjukuense,1491,1492,1
29,Mycobacterium_shinjukuense,1515,1516,1
30,Mycobacterium_shinjukuense,1707,1708,1
31,Mycobacterium_shinjukuense,1748,1749,1
32,Mycobacterium_shinjukuense,1751,1752,1
33,Mycobacterium_shinjukuense,1756,1761,5
34,Mycobacterium_shinjukuense,1773,1775,2
35,Mycobacterium_shinjukuense,1776,1777,1
36,Mycobacterium_shinjukuense,1784,1785,1
37,Mycobacterium_shinjukuense,1789,1791,2
38,Mycobacterium_shinjukuense,1802,1803,1
39,Mycobacterium_shinjukuense,1918,1919,1
40,Mycobacterium_shinjukuense,1954,1955,1
41,Mycobacterium_shinjukuense,1993,1994,1
42,Mycobacterium_shinjukuense,2132,2133,1
43,Mycobacterium_shinjukuense,2136,2137,1
44,Mycobacterium_shinjukuense,2138,2139,1
45,Mycobacterium_shinjukuense,2143,2147,4
46,Mycobacterium_shinjukuense,2150,2152,2
47,Mycobacterium_shinjukuense,2162,2163,1
48,Mycobacterium_shinjukuense,2285,2294,9
49,Mycobacterium_shinjukuense,2296,2297,1
50,Mycobacterium_shinjukuense,2299,2305,6
51,Mycobacterium_shinjukuense,2309,2315,6
52,Mycobacterium_shinjukuense,2316,2325,9
53,Mycobacterium_shinjukuense,2379,2380,1
54,Mycobacterium_shinjukuense,2664,2665,1
55,Mycobacterium_shinjukuense,2723,2850,127
56,Mycobacterium_shinjukuense,3376,3377,1
57,Mycobacterium_shinjukuense,3378,3379,1
58,Mycobacterium_shinjukuense,3433,3434,1
59,Mycobacterium_lacus,1,3,2
60,Mycobacterium_lacus,82,83,1
61,Mycobacterium_lacus,186,187,1
62,Mycobacterium_lacus,235,237,2
63,Mycobacterium_lacus,238,240,2
64,Mycobacterium_lacus,250,251,1
65,Mycobacterium_lacus,295,296,1
66,Mycobacterium_lacus,359,360,1
67,Mycobacterium_lacus,373,374,1
68,Mycobacterium_lacus,401,402,1
69,Mycobacterium_lacus,416,417,1
70,Mycobacterium_lacus,451,452,1
71,Mycobacterium_lacus,471,574,103
72,Mycobacterium_lacus,753,755,2
73,Mycobacterium_lacus,789,790,1
74,Mycobacterium_lacus,839,840,1
75,Mycobacterium_lacus,883,892,9
76,Mycobacterium_lacus,896,897,1
77,Mycobacterium_lacus,901,902,1
78,Mycobacterium_lacus,1010,1011,1
79,Mycobacterium_lacus,1068,1069,1
80,Mycobacterium_lacus,1168,1169,1
81,Mycobacterium_lacus,1185,1186,1
82,Mycobacterium_lacus,1187,1188,1
83,Mycobacterium_lacus,1190,1192,2
84,Mycobacterium_lacus,1211,1212,1
85,Mycobacterium_lacus,1237,1238,1
86,Mycobacterium_lacus,1398,1399,1
87,Mycobacterium_lacus,1430,1436,6
88,Mycobacterium_lacus,1438,1439,1
89,Mycobacterium_lacus,1445,1446,1
90,Mycobacterium_lacus,1448,1459,11
91,Mycobacterium_lacus,1491,1492,1
92,Mycobacterium_lacus,1515,1516,1
93,Mycobacterium_lacus,1707,1708,1
94,Mycobacterium_lacus,1748,1749,1
95,Mycobacterium_lacus,1751,1752,1
96,Mycobacterium_lacus,1756,1761,5
97,Mycobacterium_lacus,1773,1775,2
98,Mycobacterium_lacus,1776,1777,1
99,Mycobacterium_lacus,1784,1785,1
100,Mycobacterium_lacus,1789,1791,2
101,Mycobacterium_lacus,1802,1803,1
102,Mycobacterium_lacus,1918,1919,1
103,Mycobacterium_lacus,1954,1955,1
104,Mycobacterium_lacus,1993,1994,1
105,Mycobacterium_lacus,2132,2133,1
106,Mycobacterium_lacus,2136,2137,1
107,Mycobacterium_lacus,2138,2139,1
108,Mycobacterium_lacus,2143,2147,4
109,Mycobacterium_lacus,2150,2152,2
110,Mycobacterium_lacus,2162,2163,1
111,Mycobacterium_lacus,2285,2294,9
112,Mycobacterium_lacus,2296,2297,1
113,Mycobacterium_lacus,2299,2305,6
114,Mycobacterium_lacus,2309,2315,6
115,Mycobacterium_lacus,2316,2325,9
116,Mycobacterium_lacus,2379,2380,1
117,Mycobacterium_lacus,2664,2665,1
118,Mycobacterium_lacus,2723,2850,127
119,Mycobacterium_lacus,3376,3377,1
120,Mycobacterium_lacus,3378,3379,1
121,Mycobacterium_lacus,3433,3434,1
122,Mycobacterium_spongiae,1,3,2
123,Mycobacterium_spongiae,82,83,1
124,Mycobacterium_spongiae,186,187,1
125,Mycobacterium_spongiae,235,237,2
126,Mycobacterium_spongiae,238,240,2
127,Mycobacterium_spongiae,250,251,1
128,Mycobacterium_spongiae,295,296,1
129,Mycobacterium_spongiae,359,360,1
130,Mycobacterium_spongiae,373,374,1
131,Mycobacterium_spongiae,401,402,1
132,Mycobacterium_spongiae,416,417,1
133,Mycobacterium_spongiae,451,452,1
134,Mycobacterium_spongiae,471,574,103
135,Mycobacterium_spongiae,753,755,2
136,Mycobacterium_spongiae,757,771,14
137,Mycobacterium_spongiae,789,790,1
138,Mycobacterium_spongiae,839,840,1
139,Mycobacterium_spongiae,883,891,8
140,Mycobacterium_spongiae,896,897,1
141,Mycobacterium_spongiae,1010,1011,1
142,Mycobacterium_spongiae,1068,1069,1
143,Mycobacterium_spongiae,1168,1169,1
144,Mycobacterium_spongiae,1185,1186,1
145,Mycobacterium_spongiae,1187,1188,1
146,Mycobacterium_spongiae,1190,1192,2
147,Mycobacterium_spongiae,1211,1212,1
148,Mycobacterium_spongiae,1237,1238,1
149,Mycobacterium_spongiae,1398,1399,1
150,Mycobacterium_spongiae,1430,1436,6
151,Mycobacterium_spongiae,1438,1439,1
152,Mycobacterium_spongiae,1445,1446,1
153,Mycobacterium_spongiae,1448,1459,11
154,Mycobacterium_spongiae,1491,1492,1
155,Mycobacterium_spongiae,1515,1516,1
156,Mycobacterium_spongiae,1707,1708,1
157,Mycobacterium_spongiae,1748,1749,1
158,Mycobacterium_spongiae,1751,1752,1
159,Mycobacterium_spongiae,1756,1761,5
160,Mycobacterium_spongiae,1773,1775,2
161,Mycobacterium_spongiae,1776,1777,1
