sp,start,end,len
Mycobacterium_hominissuis,45,47,2
Mycobacterium_hominissuis,164,167,3
Mycobacterium_hominissuis,168,169,1
Mycobacterium_hominissuis,176,177,1
Mycobacterium_hominissuis,183,184,1
Mycobacterium_hominissuis,187,188,1
Mycobacterium_hominissuis,192,198,6
Mycobacterium_hominissuis,212,213,1
Mycobacterium_hominissuis,232,233,1
Mycobacterium_hominissuis,245,250,5
Mycobacterium_hominissuis,256,258,2
Mycobacterium_hominissuis,299,316,17
Mycobacterium_hominissuis,321,329,8
Mycobacterium_hominissuis,338,339,1
Mycobacterium_hominissuis,419,429,10
Mycobacterium_hominissuis,432,433,1
Mycobacterium_hominissuis,438,440,2
Mycobacterium_hominissuis,446,447,1
Mycobacterium_hominissuis,462,463,1
Mycobacterium_hominissuis,478,479,1
Mycobacterium_colombiense,45,49,4
Mycobacterium_colombiense,164,167,3
Mycobacterium_colombiense,168,169,1
Mycobacterium_colombiense,176,177,1
Mycobacterium_colombiense,183,184,1
Mycobacterium_colombiense,187,188,1
Mycobacterium_colombiense,192,198,6
Mycobacterium_colombiense,212,213,1
Mycobacterium_colombiense,232,233,1
Mycobacterium_colombiense,245,250,5
Mycobacterium_colombiense,256,258,2
Mycobacterium_colombiense,299,316,17
Mycobacterium_colombiense,321,329,8
Mycobacterium_colombiense,338,339,1
Mycobacterium_colombiense,418,429,11
Mycobacterium_colombiense,446,447,1
Mycobacterium_colombiense,462,463,1
Mycobacterium_colombiense,478,479,1
Mycobacteroides_massiliense,45,49,4
Mycobacterium_yongonense,45,49,4
Mycobacterium_yongonense,164,167,3
Mycobacterium_yongonense,168,169,1
Mycobacterium_yongonense,176,177,1
Mycobacterium_yongonense,183,184,1
Mycobacterium_yongonense,187,188,1
Mycobacterium_yongonense,192,198,6
Mycobacterium_yongonense,212,213,1
Mycobacterium_yongonense,232,233,1
Mycobacterium_yongonense,245,250,5
Mycobacterium_yongonense,256,258,2
Mycobacterium_yongonense,299,316,17
Mycobacterium_yongonense,321,329,8
Mycobacterium_yongonense,338,339,1
Mycobacterium_yongonense,419,429,10
Mycobacterium_yongonense,432,433,1
Mycobacterium_yongonense,446,447,1
Mycobacterium_yongonense,462,463,1
Mycobacterium_yongonense,478,479,1
Mycobacterium_chimaera,45,49,4
Mycobacterium_chimaera,164,167,3
Mycobacterium_chimaera,168,169,1
Mycobacterium_chimaera,176,177,1
Mycobacterium_chimaera,183,184,1
Mycobacterium_chimaera,187,188,1
Mycobacterium_chimaera,192,198,6
Mycobacterium_chimaera,212,213,1
Mycobacterium_chimaera,232,233,1
Mycobacterium_chimaera,245,250,5
Mycobacterium_chimaera,256,258,2
Mycobacterium_chimaera,299,316,17
Mycobacterium_chimaera,321,329,8
Mycobacterium_chimaera,338,339,1
Mycobacterium_chimaera,419,429,10
Mycobacterium_chimaera,432,433,1
Mycobacterium_chimaera,446,447,1
Mycobacterium_chimaera,462,463,1
Mycobacterium_chimaera,478,479,1
Mycobacterium_dioxanotrophicus,46,47,1
Mycobacterium_dioxanotrophicus,166,167,1
Mycobacterium_dioxanotrophicus,168,169,1
Mycobacterium_dioxanotrophicus,176,177,1
Mycobacterium_dioxanotrophicus,183,184,1
Mycobacterium_dioxanotrophicus,187,188,1
Mycobacterium_dioxanotrophicus,192,198,6
Mycobacterium_intracellulare,45,49,4
Mycobacterium_intracellulare,164,167,3
Mycobacterium_intracellulare,168,169,1
Mycobacterium_intracellulare,176,177,1
Mycobacterium_intracellulare,183,184,1
Mycobacterium_intracellulare,187,188,1
Mycobacterium_intracellulare,192,198,6
Mycobacterium_intracellulare,212,213,1
Mycobacterium_intracellulare,232,233,1
Mycobacterium_intracellulare,245,250,5
Mycobacterium_intracellulare,256,258,2
Mycobacterium_intracellulare,299,316,17
Mycobacterium_intracellulare,321,329,8
Mycobacterium_intracellulare,338,339,1
Mycobacterium_intracellulare,419,429,10
Mycobacterium_intracellulare,432,433,1
Mycobacterium_intracellulare,446,447,1
Mycobacterium_intracellulare,462,463,1
Mycobacterium_intracellulare,478,479,1
Mycobacterium_marseillense,45,49,4
Mycobacterium_marseillense,164,167,3
Mycobacterium_marseillense,168,169,1
Mycobacterium_marseillense,176,177,1
Mycobacterium_marseillense,183,184,1
Mycobacterium_marseillense,187,188,1
Mycobacterium_marseillense,192,198,6
Mycobacterium_marseillense,212,213,1
Mycobacterium_marseillense,232,233,1
Mycobacterium_marseillense,245,250,5
Mycobacterium_marseillense,256,258,2
Mycobacterium_marseillense,299,316,17
Mycobacterium_marseillense,321,329,8
Mycobacterium_marseillense,338,339,1
Mycobacterium_marseillense,420,429,9
Mycobacterium_marseillense,432,433,1
Mycobacterium_marseillense,446,447,1
Mycobacterium_marseillense,462,463,1
Mycobacterium_marseillense,478,479,1
Mycobacterium_shinshuense,45,48,3
Mycobacterium_shinshuense,164,167,3
Mycobacterium_shinshuense,168,169,1
Mycobacterium_shinshuense,176,177,1
Mycobacterium_shinshuense,183,184,1
Mycobacterium_shinshuense,187,188,1
Mycobacterium_shinshuense,192,198,6
Mycobacterium_shinshuense,212,213,1
Mycobacterium_shinshuense,232,233,1
Mycobacterium_shinshuense,245,250,5
Mycobacterium_shinshuense,257,261,4
Mycobacterium_shinshuense,299,315,16
Mycobacterium_shinshuense,323,329,6
Mycobacterium_shinshuense,338,339,1
Mycobacterium_shinshuense,397,398,1
Mycobacterium_shinshuense,417,429,12
Mycobacterium_shinshuense,432,433,1
Mycobacterium_shinshuense,446,451,5
Mycobacterium_shinshuense,476,479,3
Mycobacterium_shigaense,45,49,4
Mycobacterium_shigaense,164,167,3
Mycobacterium_shigaense,168,169,1
Mycobacterium_shigaense,176,177,1
Mycobacterium_shigaense,183,184,1
Mycobacterium_shigaense,187,188,1
Mycobacterium_shigaense,192,198,6
Mycobacterium_shigaense,212,213,1
Mycobacterium_shigaense,232,233,1
Mycobacterium_shigaense,245,250,5
Mycobacterium_shigaense,257,258,1
Mycobacterium_shigaense,299,316,17
Mycobacterium_shigaense,321,329,8
Mycobacterium_shigaense,338,339,1
Mycobacterium_shigaense,398,399,1
Mycobacterium_shigaense,418,429,11
Mycobacterium_shigaense,432,433,1
Mycobacterium_shigaense,446,451,5
Mycobacterium_shigaense,462,466,4
Mycobacterium_shigaense,476,479,3
Mycobacteroides_abscessus,45,49,4
Mycobacterium_leprae,45,49,4
Mycobacterium_leprae,164,167,3
Mycobacterium_leprae,183,184,1
Mycobacterium_leprae,187,188,1
Mycobacterium_leprae,192,198,6
Mycobacterium_leprae,212,213,1
Mycobacterium_leprae,232,233,1
Mycobacterium_leprae,245,250,5
Mycobacterium_leprae,256,261,5
Mycobacterium_leprae,299,316,17
Mycobacterium_leprae,321,329,8
Mycobacterium_leprae,338,339,1
Mycobacterium_leprae,420,425,5
Mycobacterium_leprae,432,433,1
Mycobacterium_leprae,477,479,2
Mycobacterium_pseudoshottsii,45,48,3
Mycobacterium_pseudoshottsii,164,167,3
Mycobacterium_pseudoshottsii,168,169,1
Mycobacterium_pseudoshottsii,176,177,1
Mycobacterium_pseudoshottsii,183,184,1
Mycobacterium_pseudoshottsii,187,188,1
Mycobacterium_pseudoshottsii,192,198,6
Mycobacterium_pseudoshottsii,212,213,1
Mycobacterium_pseudoshottsii,232,233,1
Mycobacterium_pseudoshottsii,245,250,5
Mycobacterium_pseudoshottsii,257,261,4
Mycobacterium_pseudoshottsii,299,315,16
Mycobacterium_pseudoshottsii,323,329,6
Mycobacterium_pseudoshottsii,338,339,1
Mycobacterium_pseudoshottsii,397,398,1
Mycobacterium_pseudoshottsii,417,429,12
Mycobacterium_pseudoshottsii,432,433,1
Mycobacterium_pseudoshottsii,446,451,5
Mycobacterium_pseudoshottsii,476,479,3
Mycobacteroides_bolletii,45,49,4
Mycolicibacterium_neoaurum,46,47,1
Mycobacterium_marinum,45,48,3
Mycobacterium_marinum,164,167,3
Mycobacterium_marinum,168,169,1
Mycobacterium_marinum,176,177,1
Mycobacterium_marinum,183,184,1
Mycobacterium_marinum,187,188,1
Mycobacterium_marinum,192,198,6
Mycobacterium_marinum,212,213,1
Mycobacterium_marinum,232,233,1
Mycobacterium_marinum,245,250,5
Mycobacterium_marinum,257,261,4
Mycobacterium_marinum,299,315,16
Mycobacterium_marinum,323,329,6
Mycobacterium_marinum,338,339,1
Mycobacterium_marinum,397,398,1
Mycobacterium_marinum,417,429,12
Mycobacterium_marinum,432,433,1
Mycobacterium_marinum,446,451,5
Mycobacterium_marinum,476,479,3
Mycobacterium_paragordonae,45,48,3
Mycobacterium_paragordonae,164,167,3
Mycobacterium_paragordonae,168,169,1
Mycobacterium_paragordonae,176,177,1
Mycobacterium_paragordonae,183,184,1
Mycobacterium_paragordonae,187,188,1
Mycobacterium_paragordonae,192,198,6
Mycobacterium_paragordonae,212,213,1
Mycobacterium_paragordonae,232,233,1
