Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium bovis BCG str. Mexico 60 kDa chaperonin 2 (groEL2) gene, complete cds",Mycobacterium tuberculosis variant bovis BCG str. Mexico,2922,2922,100%,0.0,100.00,1620,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN034612.1?report=genbank&log$=nucltop&blast_rank=1&RID=6PVX24BJ016"",""JN034612.1"")"
M.tuberculosis groE gene for KCS and 10-kDa products,Mycobacterium tuberculosis str. Erdman = ATCC 35801,2918,2918,100%,0.0,99.94,2987,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X60350.1?report=genbank&log$=nucltop&blast_rank=2&RID=6PVX24BJ016"",""X60350.1"")"
XXX,Mycobacterium kansasii,1702,1702,99%,0.0,83.44,70862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589443.1?report=genbank&log$=nucltop&blast_rank=3&RID=6PVX24BJ016"",""LR589443.1"")"
XXX,Mycobacterium kansasii,1702,1702,99%,0.0,83.44,70862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589379.1?report=genbank&log$=nucltop&blast_rank=4&RID=6PVX24BJ016"",""LR589379.1"")"
Mycobacterium leprae groES and groEL genes,Mycobacterium leprae,1490,1490,99%,0.0,80.47,2912,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/Z11665.1?report=genbank&log$=nucltop&blast_rank=5&RID=6PVX24BJ016"",""Z11665.1"")"
XXX,Mycolicibacterium smegmatis,1282,1282,100%,0.0,77.49,171564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589575.1?report=genbank&log$=nucltop&blast_rank=6&RID=6PVX24BJ016"",""LR589575.1"")"
"Mycobacterium avium subsp. avium strain ATCC 25291 60 kDa chaperonin 1 (groEL1) gene, groEL1-5 allele, partial cds",Mycobacterium avium subsp. avium ATCC 25291,888,888,50%,0.0,84.24,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410048.1?report=genbank&log$=nucltop&blast_rank=7&RID=6PVX24BJ016"",""EU410048.1"")"
"Mycobacterium avium subsp. avium strain IWGMT 17 60 kDa chaperonin 1 (groEL1) gene, groEL1-8 allele, partial cds",Mycobacterium avium subsp. avium,884,884,50%,0.0,84.11,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410051.1?report=genbank&log$=nucltop&blast_rank=8&RID=6PVX24BJ016"",""EU410051.1"")"
"Mycobacterium avium subsp. hominissuis strain 9501268 60 kDa chaperonin 1 (groEL1) gene, groEL1-9 allele, partial cds",Mycobacterium avium subsp. hominissuis,881,881,50%,0.0,84.01,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410052.1?report=genbank&log$=nucltop&blast_rank=9&RID=6PVX24BJ016"",""EU410052.1"")"
"Mycobacterium avium subsp. hominissuis strain HMC36 60 kDa chaperonin 1 (groEL1) gene, groEL1-7 allele, partial cds",Mycobacterium avium subsp. hominissuis,872,872,50%,0.0,83.76,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410050.1?report=genbank&log$=nucltop&blast_rank=10&RID=6PVX24BJ016"",""EU410050.1"")"
"Mycobacterium avium subsp. paratuberculosis strain ATCC 19698 60 kDa chaperonin 1 (groEL1) gene, groEL1-6 allele, partial cds",Mycobacterium avium subsp. paratuberculosis,872,872,50%,0.0,83.76,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410049.1?report=genbank&log$=nucltop&blast_rank=11&RID=6PVX24BJ016"",""EU410049.1"")"
"Mycobacterium avium subsp. hominissuis strain ATCC 49601 60 kDa chaperonin 1 (groEL1) gene, groEL1-3 allele, partial cds",Mycobacterium avium subsp. hominissuis,872,872,50%,0.0,83.76,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410046.1?report=genbank&log$=nucltop&blast_rank=12&RID=6PVX24BJ016"",""EU410046.1"")"
"Mycobacterium avium subsp. hominissuis strain MB063764 60 kDa chaperonin 1 (groEL1) gene, groEL1-2 allele, partial cds",Mycobacterium avium subsp. hominissuis,872,872,50%,0.0,83.76,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410045.1?report=genbank&log$=nucltop&blast_rank=13&RID=6PVX24BJ016"",""EU410045.1"")"
"Mycobacterium avium subsp. hominissuis strain ATCC 700898 60 kDa chaperonin 1 (groEL1) gene, groEL1-1 allele, partial cds",Mycobacterium avium subsp. hominissuis,872,872,50%,0.0,83.76,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410044.1?report=genbank&log$=nucltop&blast_rank=14&RID=6PVX24BJ016"",""EU410044.1"")"
"Mycobacterium avium subsp. hominissuis strain 28132 60 kDa chaperonin 1 (groEL1) gene, groEL1-4 allele, partial cds",Mycobacterium avium subsp. hominissuis,867,867,50%,0.0,83.64,813,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU410047.1?report=genbank&log$=nucltop&blast_rank=15&RID=6PVX24BJ016"",""EU410047.1"")"
"Mycobacterium sp. Asan 37990 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. Asan 37990,538,538,92%,6e-152,68.65,1503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ849777.1?report=genbank&log$=nucltop&blast_rank=16&RID=6PVX24BJ016"",""FJ849777.1"")"
XXX,Mycobacterium riyadhense,531,531,96%,9e-150,68.17,73955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589083.1?report=genbank&log$=nucltop&blast_rank=17&RID=6PVX24BJ016"",""LR589083.1"")"
XXX,Mycobacterium riyadhense,531,531,96%,9e-150,68.17,73955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR588986.1?report=genbank&log$=nucltop&blast_rank=18&RID=6PVX24BJ016"",""LR588986.1"")"
"Mycobacterium yongonense strain FI-13005 65 kD heat shock protein gene, partial cds",Mycobacterium intracellulare subsp. yongonense,528,528,93%,1e-148,68.41,1573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF224991.1?report=genbank&log$=nucltop&blast_rank=19&RID=6PVX24BJ016"",""KF224991.1"")"
"Mycobacterium mucogenicum isolate MUCO_06-693 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,526,526,94%,4e-148,68.32,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551426.1?report=genbank&log$=nucltop&blast_rank=20&RID=6PVX24BJ016"",""EF551426.1"")"
"Mycobacterium mucogenicum isolate MUCO_06-704 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,521,521,94%,2e-146,68.25,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551423.1?report=genbank&log$=nucltop&blast_rank=21&RID=6PVX24BJ016"",""EF551423.1"")"
"Mycobacterium sp. Asan 37680 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. Asan 37680,520,520,92%,2e-146,68.39,1503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ849765.1?report=genbank&log$=nucltop&blast_rank=22&RID=6PVX24BJ016"",""FJ849765.1"")"
"Mycobacterium sp. Asan 35609 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. Asan 35609,520,520,92%,2e-146,68.39,1503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ849761.1?report=genbank&log$=nucltop&blast_rank=23&RID=6PVX24BJ016"",""FJ849761.1"")"
"Mycobacterium chimaera strain MI-JC 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare subsp. chimaera,520,520,92%,2e-146,68.39,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284777.1?report=genbank&log$=nucltop&blast_rank=24&RID=6PVX24BJ016"",""DQ284777.1"")"
"Mycobacterium intracellulare strain ATCC 13950 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare ATCC 13950,520,520,92%,2e-146,68.39,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284774.1?report=genbank&log$=nucltop&blast_rank=25&RID=6PVX24BJ016"",""DQ284774.1"")"
"Mycobacterium avium strain T3054 chaperonin groEL (groEL) gene, partial cds",Mycobacterium avium,517,517,96%,2e-145,68.02,1621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU488724.1?report=genbank&log$=nucltop&blast_rank=26&RID=6PVX24BJ016"",""EU488724.1"")"
"Mycobacterium phocaicum isolate MUCO_06-711 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium phocaicum,517,517,94%,2e-145,68.19,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551427.1?report=genbank&log$=nucltop&blast_rank=27&RID=6PVX24BJ016"",""EF551427.1"")"
"Mycobacterium mucogenicum isolate MUCO_07-710 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,517,517,94%,2e-145,68.19,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551421.1?report=genbank&log$=nucltop&blast_rank=28&RID=6PVX24BJ016"",""EF551421.1"")"
"Mycobacterium sp. Asan 35644 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. Asan 35644,516,516,92%,7e-145,68.32,1503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ849774.1?report=genbank&log$=nucltop&blast_rank=29&RID=6PVX24BJ016"",""FJ849774.1"")"
"Mycobacterium intracellulare strain FCC1804 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare,516,516,92%,7e-145,68.32,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284776.1?report=genbank&log$=nucltop&blast_rank=30&RID=6PVX24BJ016"",""DQ284776.1"")"
"Mycobacterium intracellulare strain 96006 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare,516,516,92%,7e-145,68.32,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284775.1?report=genbank&log$=nucltop&blast_rank=31&RID=6PVX24BJ016"",""DQ284775.1"")"
"Mycobacterium palauense strain CECT 8779 heat shock protein gene, partial cds",Mycobacterium palauense,514,514,92%,2e-144,68.40,1545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF774023.1?report=genbank&log$=nucltop&blast_rank=32&RID=6PVX24BJ016"",""MF774023.1"")"
M.tuberculosis 65 kDa antigen (cell wall protein a) gene,Mycobacterium tuberculosis str. Erdman = ATCC 35801,514,514,96%,2e-144,67.77,4380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/M15467.1?report=genbank&log$=nucltop&blast_rank=33&RID=6PVX24BJ016"",""M15467.1"")"
"M.bovis BCG gene encoding antigen A (MbaA), complete cds",Mycobacterium tuberculosis variant bovis,514,514,96%,2e-144,67.77,2431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/M17705.1?report=genbank&log$=nucltop&blast_rank=34&RID=6PVX24BJ016"",""M17705.1"")"
"Mycobacterium avium heat shock protein Hsp65 gene, partial cds",Mycobacterium avium,513,513,96%,2e-144,67.96,1624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF281650.1?report=genbank&log$=nucltop&blast_rank=35&RID=6PVX24BJ016"",""AF281650.1"")"
"Mycobacterium phocaicum isolate MUCO_06-708 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium phocaicum,512,512,94%,8e-144,68.13,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551431.1?report=genbank&log$=nucltop&blast_rank=36&RID=6PVX24BJ016"",""EF551431.1"")"
"Mycobacterium phocaicum isolate MUCO_06-696 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium phocaicum,512,512,94%,8e-144,68.25,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551410.1?report=genbank&log$=nucltop&blast_rank=37&RID=6PVX24BJ016"",""EF551410.1"")"
"Mycobacterium avium strain HMC36 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,512,512,87%,8e-144,68.80,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284772.1?report=genbank&log$=nucltop&blast_rank=38&RID=6PVX24BJ016"",""DQ284772.1"")"
"Mycobacterium intracellulare strain 90331 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare,511,511,92%,8e-144,68.25,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284778.1?report=genbank&log$=nucltop&blast_rank=39&RID=6PVX24BJ016"",""DQ284778.1"")"
"Mycobacterium avium strain 822 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,509,509,89%,3e-143,68.54,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284773.1?report=genbank&log$=nucltop&blast_rank=40&RID=6PVX24BJ016"",""DQ284773.1"")"
