sp,start,end,len
Mycobacterium_decipiens,74,75,1
Mycobacterium_decipiens,81,96,15
Mycobacterium_decipiens,98,100,2
Mycobacterium_decipiens,106,107,1
Mycobacterium_decipiens,158,159,1
Mycobacterium_decipiens,200,201,1
Mycobacterium_decipiens,217,218,1
Mycobacterium_decipiens,236,239,3
Mycobacterium_decipiens,427,428,1
Mycobacterium_decipiens,477,479,2
Mycobacterium_decipiens,493,495,2
Mycobacterium_decipiens,617,618,1
Mycobacterium_decipiens,867,869,2
Mycobacterium_decipiens,1043,1044,1
Mycobacterium_decipiens,1309,1310,1
Mycobacterium_decipiens,1480,1483,3
Mycobacterium_marinum,74,75,1
Mycobacterium_marinum,81,96,15
Mycobacterium_marinum,98,100,2
Mycobacterium_marinum,106,107,1
Mycobacterium_marinum,158,159,1
Mycobacterium_marinum,200,201,1
Mycobacterium_marinum,217,218,1
Mycobacterium_marinum,230,232,2
Mycobacterium_marinum,236,239,3
Mycobacterium_marinum,427,428,1
Mycobacterium_marinum,477,479,2
Mycobacterium_marinum,493,495,2
Mycobacterium_marinum,617,618,1
Mycobacterium_marinum,867,869,2
Mycobacterium_marinum,1043,1044,1
Mycobacterium_marinum,1309,1311,2
Mycobacterium_marinum,1480,1483,3
Mycobacterium_spongiae,74,75,1
Mycobacterium_spongiae,81,96,15
Mycobacterium_spongiae,98,100,2
Mycobacterium_spongiae,106,107,1
Mycobacterium_spongiae,158,159,1
Mycobacterium_spongiae,200,201,1
Mycobacterium_spongiae,217,218,1
Mycobacterium_spongiae,236,239,3
Mycobacterium_spongiae,427,428,1
Mycobacterium_spongiae,477,479,2
Mycobacterium_spongiae,493,495,2
Mycobacterium_spongiae,617,618,1
Mycobacterium_spongiae,867,869,2
Mycobacterium_spongiae,1043,1044,1
Mycobacterium_spongiae,1309,1310,1
Mycobacterium_spongiae,1477,1478,1
Mycobacterium_spongiae,1480,1483,3
Mycobacterium_basiliense,74,75,1
Mycobacterium_basiliense,81,96,15
Mycobacterium_basiliense,98,100,2
Mycobacterium_basiliense,106,107,1
Mycobacterium_basiliense,158,159,1
Mycobacterium_basiliense,200,201,1
Mycobacterium_basiliense,217,218,1
Mycobacterium_basiliense,230,232,2
Mycobacterium_basiliense,236,239,3
Mycobacterium_basiliense,427,428,1
Mycobacterium_basiliense,477,479,2
Mycobacterium_basiliense,484,486,2
Mycobacterium_basiliense,493,495,2
Mycobacterium_basiliense,617,618,1
Mycobacterium_basiliense,867,869,2
Mycobacterium_basiliense,1043,1044,1
Mycobacterium_basiliense,1309,1310,1
Mycobacterium_basiliense,1480,1483,3
Mycobacterium_shottsii,74,75,1
Mycobacterium_shottsii,81,96,15
Mycobacterium_shottsii,98,100,2
Mycobacterium_shottsii,106,107,1
Mycobacterium_shottsii,158,159,1
Mycobacterium_shottsii,200,201,1
Mycobacterium_shottsii,217,218,1
Mycobacterium_shottsii,230,232,2
Mycobacterium_shottsii,236,239,3
Mycobacterium_shottsii,427,428,1
Mycobacterium_shottsii,477,479,2
Mycobacterium_shottsii,493,495,2
Mycobacterium_shottsii,617,618,1
Mycobacterium_shottsii,867,869,2
Mycobacterium_shottsii,1043,1044,1
Mycobacterium_shottsii,1309,1311,2
Mycobacterium_shottsii,1480,1483,3
Mycobacterium_shinshuense,74,75,1
Mycobacterium_shinshuense,81,96,15
Mycobacterium_shinshuense,98,100,2
Mycobacterium_shinshuense,106,107,1
Mycobacterium_shinshuense,158,159,1
Mycobacterium_shinshuense,200,201,1
Mycobacterium_shinshuense,217,218,1
Mycobacterium_shinshuense,230,232,2
Mycobacterium_shinshuense,236,239,3
Mycobacterium_shinshuense,427,428,1
Mycobacterium_shinshuense,477,479,2
Mycobacterium_shinshuense,493,495,2
Mycobacterium_shinshuense,617,618,1
Mycobacterium_shinshuense,867,869,2
Mycobacterium_shinshuense,1043,1044,1
Mycobacterium_shinshuense,1309,1311,2
Mycobacterium_shinshuense,1480,1483,3
Mycobacterium_ulcerans,74,75,1
Mycobacterium_ulcerans,81,96,15
Mycobacterium_ulcerans,98,100,2
Mycobacterium_ulcerans,106,107,1
Mycobacterium_ulcerans,158,159,1
Mycobacterium_ulcerans,200,201,1
Mycobacterium_ulcerans,217,218,1
Mycobacterium_ulcerans,230,232,2
Mycobacterium_ulcerans,236,239,3
Mycobacterium_ulcerans,427,428,1
Mycobacterium_ulcerans,477,479,2
Mycobacterium_ulcerans,493,495,2
Mycobacterium_ulcerans,617,618,1
Mycobacterium_ulcerans,867,869,2
Mycobacterium_ulcerans,1043,1044,1
Mycobacterium_ulcerans,1309,1311,2
Mycobacterium_ulcerans,1480,1483,3
Mycobacterium_lacus,74,75,1
Mycobacterium_lacus,81,96,15
Mycobacterium_lacus,98,100,2
Mycobacterium_lacus,106,107,1
Mycobacterium_lacus,158,159,1
Mycobacterium_lacus,200,201,1
Mycobacterium_lacus,217,218,1
Mycobacterium_lacus,230,232,2
Mycobacterium_lacus,236,239,3
Mycobacterium_lacus,427,428,1
Mycobacterium_lacus,477,479,2
Mycobacterium_lacus,493,495,2
Mycobacterium_lacus,617,618,1
Mycobacterium_lacus,867,869,2
Mycobacterium_lacus,1043,1044,1
Mycobacterium_lacus,1309,1310,1
Mycobacterium_lacus,1480,1483,3
Mycobacterium_liflandii,74,75,1
Mycobacterium_liflandii,81,96,15
Mycobacterium_liflandii,98,100,2
Mycobacterium_liflandii,106,107,1
Mycobacterium_liflandii,158,159,1
Mycobacterium_liflandii,200,201,1
Mycobacterium_liflandii,217,218,1
Mycobacterium_liflandii,230,232,2
Mycobacterium_liflandii,236,239,3
Mycobacterium_liflandii,427,428,1
Mycobacterium_liflandii,477,479,2
Mycobacterium_liflandii,493,495,2
Mycobacterium_liflandii,617,618,1
Mycobacterium_liflandii,867,869,2
Mycobacterium_liflandii,1043,1044,1
Mycobacterium_liflandii,1309,1311,2
Mycobacterium_liflandii,1480,1483,3
Mycobacterium_shinjukuense,74,75,1
Mycobacterium_shinjukuense,81,96,15
Mycobacterium_shinjukuense,98,100,2
Mycobacterium_shinjukuense,106,107,1
Mycobacterium_shinjukuense,158,159,1
Mycobacterium_shinjukuense,200,201,1
Mycobacterium_shinjukuense,217,218,1
Mycobacterium_shinjukuense,230,232,2
Mycobacterium_shinjukuense,236,239,3
Mycobacterium_shinjukuense,427,428,1
Mycobacterium_shinjukuense,477,479,2
Mycobacterium_shinjukuense,493,495,2
Mycobacterium_shinjukuense,617,618,1
Mycobacterium_shinjukuense,867,869,2
Mycobacterium_shinjukuense,1043,1044,1
Mycobacterium_shinjukuense,1309,1310,1
Mycobacterium_shinjukuense,1481,1483,2
Mycobacterium_pseudoshottsii,74,75,1
Mycobacterium_pseudoshottsii,81,96,15
Mycobacterium_pseudoshottsii,98,100,2
Mycobacterium_pseudoshottsii,106,107,1
Mycobacterium_pseudoshottsii,158,159,1
Mycobacterium_pseudoshottsii,200,201,1
Mycobacterium_pseudoshottsii,217,218,1
Mycobacterium_pseudoshottsii,230,232,2
Mycobacterium_pseudoshottsii,236,239,3
Mycobacterium_pseudoshottsii,427,428,1
Mycobacterium_pseudoshottsii,477,479,2
Mycobacterium_pseudoshottsii,493,495,2
Mycobacterium_pseudoshottsii,617,618,1
Mycobacterium_pseudoshottsii,867,869,2
Mycobacterium_pseudoshottsii,1043,1044,1
Mycobacterium_pseudoshottsii,1309,1311,2
Mycobacterium_pseudoshottsii,1480,1483,3
Mycobacterium_ostraviense,74,75,1
Mycobacterium_ostraviense,81,96,15
Mycobacterium_ostraviense,98,100,2
Mycobacterium_ostraviense,106,107,1
Mycobacterium_ostraviense,158,159,1
Mycobacterium_ostraviense,200,201,1
Mycobacterium_ostraviense,217,218,1
Mycobacterium_ostraviense,230,232,2
Mycobacterium_ostraviense,236,239,3
Mycobacterium_ostraviense,427,428,1
Mycobacterium_ostraviense,477,479,2
Mycobacterium_ostraviense,493,495,2
Mycobacterium_ostraviense,617,618,1
Mycobacterium_ostraviense,867,869,2
Mycobacterium_ostraviense,1043,1044,1
Mycobacterium_ostraviense,1309,1310,1
Mycobacterium_ostraviense,1477,1478,1
Mycobacterium_ostraviense,1480,1483,3
Mycobacterium_kansasii,74,75,1
Mycobacterium_kansasii,81,96,15
Mycobacterium_kansasii,98,100,2
Mycobacterium_kansasii,106,107,1
Mycobacterium_kansasii,158,159,1
Mycobacterium_kansasii,200,201,1
Mycobacterium_kansasii,217,218,1
Mycobacterium_kansasii,230,232,2
Mycobacterium_kansasii,236,239,3
Mycobacterium_kansasii,427,428,1
Mycobacterium_kansasii,477,479,2
Mycobacterium_kansasii,493,495,2
Mycobacterium_kansasii,617,618,1
Mycobacterium_kansasii,867,869,2
Mycobacterium_kansasii,1043,1044,1
Mycobacterium_kansasii,1309,1310,1
Mycobacterium_kansasii,1477,1478,1
Mycobacterium_kansasii,1480,1483,3
Mycobacterium_gastri,74,75,1
Mycobacterium_gastri,81,96,15
Mycobacterium_gastri,98,100,2
Mycobacterium_gastri,106,107,1
Mycobacterium_gastri,158,159,1
Mycobacterium_gastri,200,201,1
Mycobacterium_gastri,217,218,1
Mycobacterium_gastri,230,232,2
Mycobacterium_gastri,236,239,3
Mycobacterium_gastri,427,428,1
Mycobacterium_gastri,477,479,2
Mycobacterium_gastri,493,495,2
Mycobacterium_gastri,617,618,1
Mycobacterium_gastri,867,869,2
Mycobacterium_gastri,1043,1044,1
Mycobacterium_gastri,1309,1310,1
Mycobacterium_gastri,1477,1478,1
Mycobacterium_gastri,1480,1483,3
Mycobacterium_malmoense,74,75,1
Mycobacterium_malmoense,81,96,15
Mycobacterium_malmoense,98,100,2
Mycobacterium_malmoense,106,107,1
Mycobacterium_malmoense,158,159,1
Mycobacterium_malmoense,200,201,1
Mycobacterium_malmoense,217,218,1
Mycobacterium_malmoense,230,232,2
Mycobacterium_malmoense,236,239,3
Mycobacterium_malmoense,427,428,1
Mycobacterium_malmoense,477,479,2
Mycobacterium_malmoense,493,495,2
Mycobacterium_malmoense,617,618,1
Mycobacterium_malmoense,867,869,2
Mycobacterium_malmoense,1043,1044,1
Mycobacterium_malmoense,1309,1310,1
Mycobacterium_malmoense,1477,1478,1
Mycobacterium_malmoense,1480,1483,3
Mycobacterium_innocens,74,75,1
Mycobacterium_innocens,81,96,15
Mycobacterium_innocens,98,100,2
Mycobacterium_innocens,106,107,1
Mycobacterium_innocens,158,159,1
Mycobacterium_innocens,200,201,1
Mycobacterium_innocens,217,218,1
Mycobacterium_innocens,230,232,2
Mycobacterium_innocens,236,239,3
Mycobacterium_innocens,427,428,1
Mycobacterium_innocens,477,479,2
Mycobacterium_innocens,493,495,2
Mycobacterium_innocens,617,618,1
Mycobacterium_innocens,867,869,2
Mycobacterium_innocens,1043,1044,1
Mycobacterium_innocens,1309,1310,1
Mycobacterium_innocens,1477,1478,1
Mycobacterium_innocens,1480,1483,3
Mycobacterium_bohemicum,74,75,1
Mycobacterium_bohemicum,81,96,15
Mycobacterium_bohemicum,98,100,2
Mycobacterium_bohemicum,106,107,1
Mycobacterium_bohemicum,158,159,1
Mycobacterium_bohemicum,200,201,1
Mycobacterium_bohemicum,217,218,1
Mycobacterium_bohemicum,230,232,2
Mycobacterium_bohemicum,236,239,3
Mycobacterium_bohemicum,427,428,1
Mycobacterium_bohemicum,477,479,2
Mycobacterium_bohemicum,493,495,2
Mycobacterium_bohemicum,617,618,1
Mycobacterium_bohemicum,867,869,2
Mycobacterium_bohemicum,1043,1044,1
Mycobacterium_bohemicum,1309,1310,1
Mycobacterium_bohemicum,1480,1483,3
Mycobacterium_asiaticum,74,75,1
Mycobacterium_asiaticum,81,96,15
Mycobacterium_asiaticum,98,100,2
Mycobacterium_asiaticum,106,107,1
Mycobacterium_asiaticum,158,159,1
Mycobacterium_asiaticum,200,201,1
Mycobacterium_asiaticum,217,218,1
Mycobacterium_asiaticum,230,232,2
Mycobacterium_asiaticum,236,239,3
Mycobacterium_asiaticum,427,428,1
Mycobacterium_asiaticum,477,479,2
Mycobacterium_asiaticum,493,495,2
Mycobacterium_asiaticum,617,618,1
Mycobacterium_asiaticum,867,869,2
Mycobacterium_asiaticum,1043,1044,1
Mycobacterium_asiaticum,1309,1310,1
Mycobacterium_asiaticum,1480,1483,3
Mycobacterium_szulgai,74,75,1
Mycobacterium_szulgai,81,96,15
Mycobacterium_szulgai,98,100,2
Mycobacterium_szulgai,106,107,1
Mycobacterium_szulgai,158,159,1
Mycobacterium_szulgai,200,201,1
Mycobacterium_szulgai,217,218,1
Mycobacterium_szulgai,230,232,2
Mycobacterium_szulgai,236,239,3
Mycobacterium_szulgai,427,428,1
Mycobacterium_szulgai,477,479,2
Mycobacterium_szulgai,493,495,2
Mycobacterium_szulgai,617,618,1
Mycobacterium_szulgai,867,869,2
Mycobacterium_szulgai,1043,1044,1
Mycobacterium_szulgai,1309,1310,1
Mycobacterium_szulgai,1477,1478,1
Mycobacterium_szulgai,1480,1483,3
Mycobacterium_angelicum,74,75,1
Mycobacterium_angelicum,81,96,15
Mycobacterium_angelicum,98,100,2
Mycobacterium_angelicum,106,107,1
Mycobacterium_angelicum,158,159,1
Mycobacterium_angelicum,200,201,1
Mycobacterium_angelicum,217,218,1
