sp,start,end,len
Mycobacterium_lacus,1,77,76
Mycobacterium_lacus,83,91,8
Mycobacterium_lacus,583,586,3
Mycobacterium_lacus,1275,1323,48
Mycobacterium_riyadhense,1,77,76
Mycobacterium_riyadhense,83,91,8
Mycobacterium_riyadhense,583,586,3
Mycobacterium_riyadhense,1275,1323,48
Mycobacterium_palustre,1,77,76
Mycobacterium_palustre,83,91,8
Mycobacterium_palustre,583,586,3
Mycobacterium_palustre,1275,1323,48
Mycobacterium_malmoense,1,77,76
Mycobacterium_malmoense,83,91,8
Mycobacterium_malmoense,583,586,3
Mycobacterium_malmoense,1275,1323,48
Mycobacterium_simulans,1,77,76
Mycobacterium_simulans,83,91,8
Mycobacterium_simulans,583,586,3
Mycobacterium_simulans,1275,1323,48
Mycobacterium_decipiens,1,77,76
Mycobacterium_decipiens,83,91,8
Mycobacterium_decipiens,583,586,3
Mycobacterium_decipiens,1275,1323,48
Mycobacterium_paraense,1,77,76
Mycobacterium_paraense,83,91,8
Mycobacterium_paraense,583,586,3
Mycobacterium_paraense,1275,1323,48
Mycobacterium_ostraviense,1,77,76
Mycobacterium_ostraviense,83,91,8
Mycobacterium_ostraviense,583,586,3
Mycobacterium_ostraviense,1275,1323,48
Mycobacterium_interjectum,1,77,76
Mycobacterium_interjectum,83,91,8
Mycobacterium_interjectum,583,586,3
Mycobacterium_interjectum,1275,1323,48
Mycobacterium_terramassiliense,1,77,76
Mycobacterium_terramassiliense,83,91,8
Mycobacterium_terramassiliense,583,586,3
Mycobacterium_terramassiliense,1275,1323,48
Mycobacterium_szulgai,1,77,76
Mycobacterium_szulgai,83,91,8
Mycobacterium_szulgai,583,586,3
Mycobacterium_szulgai,1275,1323,48
Mycobacterium_angelicum,1,77,76
Mycobacterium_angelicum,83,91,8
Mycobacterium_angelicum,583,586,3
Mycobacterium_innocens,1,77,76
Mycobacterium_innocens,83,91,8
Mycobacterium_innocens,583,586,3
Mycobacterium_innocens,1275,1323,48
Mycobacterium_persicum,1,77,76
Mycobacterium_persicum,83,91,8
Mycobacterium_persicum,583,586,3
Mycobacterium_persicum,1275,1323,48
Mycobacterium_alsense,1,77,76
Mycobacterium_alsense,83,91,8
Mycobacterium_alsense,583,586,3
Mycobacterium_alsense,1275,1323,48
Mycobacterium_pseudokansasii,1,77,76
Mycobacterium_pseudokansasii,83,91,8
Mycobacterium_pseudokansasii,583,586,3
Mycobacterium_pseudokansasii,1275,1323,48
Mycobacterium_hominissuis,1,77,76
Mycobacterium_hominissuis,83,91,8
Mycobacterium_hominissuis,583,586,3
Mycobacterium_hominissuis,1275,1323,48
Mycobacterium_kyorinense,1,77,76
Mycobacterium_kyorinense,83,91,8
Mycobacterium_kyorinense,583,586,3
Mycobacterium_kyorinense,1275,1323,48
Mycobacterium_gordonae,1,77,76
Mycobacterium_gordonae,83,91,8
Mycobacterium_gordonae,583,586,3
Mycobacterium_gordonae,1275,1323,48
Mycobacterium_attenuatum,1,77,76
Mycobacterium_attenuatum,83,91,8
Mycobacterium_attenuatum,583,586,3
Mycobacterium_attenuatum,1275,1323,48
Mycobacterium_heidelbergense,1,77,76
Mycobacterium_heidelbergense,83,91,8
Mycobacterium_heidelbergense,583,586,3
Mycobacterium_heidelbergense,1275,1323,48
Mycobacterium_avium,1,77,76
Mycobacterium_avium,83,91,8
Mycobacterium_avium,583,586,3
