sp,start,end,len
Mycobacteroides_massiliense,1,10,9
Mycobacteroides_massiliense,24,39,15
Mycobacteroides_massiliense,43,46,3
Mycobacteroides_massiliense,53,115,62
Mycobacteroides_massiliense,117,132,15
Mycobacteroides_massiliense,133,136,3
Mycobacteroides_massiliense,346,349,3
Mycobacteroides_massiliense,1542,1691,149
Mycobacteroides_massiliense,3320,3326,6
Mycobacteroides_massiliense,3333,3361,28
Mycobacteroides_massiliense,3364,3365,1
Mycobacteroides_massiliense,3372,3374,2
Mycobacteroides_massiliense,3411,3480,69
Mycobacteroides_massiliense,3485,3491,6
Mycobacteroides_massiliense,3642,3645,3
Mycobacteroides_massiliense,3650,3653,3
Mycobacteroides_massiliense,3655,3667,12
Mycobacteroides_massiliense,3782,3788,6
Mycobacteroides_massiliense,4400,4406,6
Mycobacteroides_massiliense,4407,4413,6
Mycobacteroides_massiliense,4424,4425,1
Mycobacteroides_massiliense,4433,4445,12
Mycobacteroides_massiliense,4452,4455,3
Mycobacteroides_massiliense,4456,4462,6
Mycobacteroides_massiliense,4468,4486,18
Mycobacteroides_massiliense,4540,4552,12
Mycobacteroides_massiliense,4555,4564,9
Mycobacteroides_massiliense,4567,4573,6
Mycobacteroides_massiliense,4582,4585,3
Mycobacteroides_massiliense,5163,5169,6
Mycobacteroides_massiliense,5170,5179,9
Mycobacteroides_massiliense,5181,5190,9
Mycobacteroides_massiliense,5197,5199,2
Mycobacteroides_massiliense,5201,5204,3
Mycobacteroides_massiliense,5206,5214,8
Mycobacteroides_massiliense,5218,5230,12
Mycobacteroides_massiliense,5231,5241,10
Mycobacteroides_massiliense,5247,5253,6
Mycobacteroides_massiliense,5401,5402,1
Mycobacteroides_massiliense,6015,6016,1
Mycobacteroides_massiliense,6431,6467,36
Mycobacteroides_massiliense,6470,6494,24
Mycobacteroides_massiliense,7178,7254,76
Mycobacteroides_massiliense,7260,7268,8
Mycobacteroides_massiliense,8452,8500,48
Mycobacteroides_massiliense,8577,8578,1
Mycobacteroides_massiliense,8584,8603,19
Mycobacteroides_massiliense,8609,8610,1
Mycobacteroides_massiliense,8661,8662,1
Mycobacteroides_massiliense,8703,8704,1
Mycobacteroides_massiliense,8720,8721,1
Mycobacteroides_massiliense,8733,8735,2
Mycobacteroides_massiliense,8739,8742,3
Mycobacteroides_massiliense,8930,8931,1
Mycobacteroides_massiliense,8981,8997,16
Mycobacteroides_massiliense,9120,9121,1
Mycobacteroides_massiliense,9370,9372,2
Mycobacteroides_massiliense,9546,9547,1
Mycobacteroides_massiliense,9812,9814,2
Mycobacteroides_massiliense,9982,9986,4
Mycobacteroides_massiliense,10076,10077,1
Mycobacteroides_massiliense,10157,10158,1
Mycobacteroides_massiliense,10261,10262,1
Mycobacteroides_massiliense,10310,10312,2
Mycobacteroides_massiliense,10313,10315,2
Mycobacteroides_massiliense,10325,10326,1
Mycobacteroides_massiliense,10370,10371,1
Mycobacteroides_massiliense,10434,10435,1
Mycobacteroides_massiliense,10448,10449,1
Mycobacteroides_massiliense,10476,10477,1
Mycobacteroides_massiliense,10491,10492,1
Mycobacteroides_massiliense,10526,10527,1
Mycobacteroides_massiliense,10546,10649,103
Mycobacteroides_massiliense,10828,10839,11
Mycobacteroides_massiliense,10841,10846,5
Mycobacteroides_massiliense,10864,10865,1
Mycobacteroides_massiliense,10914,10915,1
Mycobacteroides_massiliense,10955,10974,19
Mycobacteroides_massiliense,10975,10980,5
Mycobacteroides_massiliense,11085,11086,1
Mycobacteroides_massiliense,11143,11144,1
Mycobacteroides_massiliense,11243,11244,1
Mycobacteroides_massiliense,11260,11261,1
Mycobacteroides_massiliense,11265,11267,2
