,# assembly_accession,taxid,species_taxid,organism_name,infraspecific_name,assembly_level,genome_rep,ftp_path,sp,testID
410,GCF_000013925.1,362242,1809,Mycobacterium ulcerans Agy99,strain=Agy99,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/925/GCF_000013925.1_ASM1392v2,Mycobacterium_ulcerans,ntm0
451,GCF_000014985.1,243243,1764,Mycobacterium avium 104,strain=104,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/985/GCF_000014985.1_ASM1498v1,Mycobacterium_avium,ntm1
452,GCF_000015005.1,246196,1772,Mycolicibacterium smegmatis MC2 155,strain=MC2 155,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/005/GCF_000015005.1_ASM1500v1,Mycolicibacterium_smegmatis,ntm2
467,GCF_000015305.1,350058,110539,Mycolicibacterium vanbaalenii PYR-1,strain=PYR-1,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/305/GCF_000015305.1_ASM1530v1,Mycolicibacterium_vanbaalenii,ntm3
583,GCF_000018345.1,216594,1781,Mycobacterium marinum M,strain=M,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/345/GCF_000018345.1_ASM1834v1,Mycobacterium_marinum,ntm4
941,GCF_000026445.2,459424,261524,Mycobacterium liflandii 128FXT,strain=128FXT,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/445/GCF_000026445.2_ASM2644v2,Mycobacterium_liflandii,ntm5
1004,GCF_000069185.1,561007,36809,Mycobacteroides abscessus ATCC 19977,strain=ATCC 19977,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1,Mycobacteroides_abscessus,ntm6
1625,GCF_000157895.3,557599,1768,Mycobacterium kansasii ATCC 12478,strain=ATCC 12478,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/895/GCF_000157895.3_ASM15789v2,Mycobacterium_kansasii,ntm7
1902,GCF_000164135.1,525368,240125,Mycobacterium parascrofulaceum ATCC BAA-614,strain=ATCC BAA-614,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/135/GCF_000164135.1_ASM16413v1,Mycobacterium_parascrofulaceum,ntm8
2168,GCF_000172115.1,487521,1767,Mycobacterium intracellulare ATCC 13950,strain=ATCC 13950,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/115/GCF_000172115.1_ASM17211v1,Mycobacterium_intracellulare,ntm9
