sp,start,end,len
Mycobacterium_decipiens,1,65,64
Mycobacterium_decipiens,102,104,2
Mycobacterium_decipiens,108,142,34
Mycobacterium_decipiens,157,163,6
Mycobacterium_decipiens,169,175,6
Mycobacterium_decipiens,326,329,3
Mycobacterium_decipiens,334,337,3
Mycobacterium_decipiens,339,351,12
Mycobacterium_decipiens,466,472,6
Mycobacterium_decipiens,1084,1090,6
Mycobacterium_decipiens,1091,1097,6
Mycobacterium_decipiens,1101,1110,9
Mycobacterium_decipiens,1116,1129,13
Mycobacterium_decipiens,1136,1139,3
Mycobacterium_decipiens,1140,1146,6
Mycobacterium_decipiens,1152,1164,12
Mycobacterium_decipiens,1167,1170,3
Mycobacterium_decipiens,1224,1236,12
Mycobacterium_decipiens,1239,1248,9
Mycobacterium_decipiens,1251,1257,6
Mycobacterium_decipiens,1265,1268,3
Mycobacterium_decipiens,1847,1853,6
Mycobacterium_decipiens,1854,1863,9
Mycobacterium_decipiens,1865,1874,9
Mycobacterium_decipiens,1881,1883,2
Mycobacterium_decipiens,1885,1888,3
Mycobacterium_decipiens,1890,1898,8
Mycobacterium_decipiens,1902,1914,12
Mycobacterium_decipiens,1915,1925,10
Mycobacterium_decipiens,1931,1937,6
Mycobacterium_decipiens,2085,2086,1
Mycobacterium_decipiens,2699,2700,1
Mycobacterium_decipiens,3115,3136,21
Mycobacterium_decipiens,3154,3178,24
Mycobacterium_heidelbergense,1,65,64
Mycobacterium_heidelbergense,108,144,36
Mycobacterium_heidelbergense,157,163,6
Mycobacterium_heidelbergense,169,175,6
Mycobacterium_heidelbergense,326,329,3
Mycobacterium_heidelbergense,334,337,3
Mycobacterium_heidelbergense,466,472,6
Mycobacterium_heidelbergense,1084,1090,6
Mycobacterium_heidelbergense,1091,1097,6
Mycobacterium_heidelbergense,1101,1110,9
Mycobacterium_heidelbergense,1116,1129,13
Mycobacterium_heidelbergense,1136,1139,3
Mycobacterium_heidelbergense,1140,1146,6
Mycobacterium_heidelbergense,1152,1164,12
Mycobacterium_heidelbergense,1167,1170,3
Mycobacterium_heidelbergense,1224,1236,12
Mycobacterium_heidelbergense,1239,1248,9
Mycobacterium_heidelbergense,1251,1257,6
Mycobacterium_heidelbergense,1265,1268,3
Mycobacterium_heidelbergense,1847,1853,6
Mycobacterium_heidelbergense,1854,1863,9
Mycobacterium_heidelbergense,1865,1872,7
Mycobacterium_heidelbergense,1881,1883,2
Mycobacterium_heidelbergense,1885,1888,3
Mycobacterium_heidelbergense,1890,1898,8
Mycobacterium_heidelbergense,1903,1908,5
Mycobacterium_heidelbergense,1915,1925,10
Mycobacterium_heidelbergense,1931,1937,6
Mycobacterium_heidelbergense,2085,2086,1
Mycobacterium_heidelbergense,2699,2700,1
Mycobacterium_heidelbergense,3115,3136,21
Mycobacterium_heidelbergense,3140,3146,6
Mycobacterium_heidelbergense,3154,3178,24
Mycobacterium_lacus,1,65,64
Mycobacterium_lacus,108,144,36
Mycobacterium_lacus,157,163,6
Mycobacterium_lacus,169,175,6
Mycobacterium_lacus,326,329,3
Mycobacterium_lacus,334,337,3
Mycobacterium_lacus,339,351,12
Mycobacterium_lacus,466,472,6
Mycobacterium_lacus,1084,1090,6
Mycobacterium_lacus,1091,1097,6
Mycobacterium_lacus,1101,1110,9
Mycobacterium_lacus,1116,1129,13
Mycobacterium_lacus,1136,1139,3
Mycobacterium_lacus,1140,1146,6
Mycobacterium_lacus,1152,1164,12
Mycobacterium_lacus,1167,1170,3
Mycobacterium_lacus,1224,1236,12
Mycobacterium_lacus,1239,1248,9
Mycobacterium_lacus,1251,1257,6
Mycobacterium_lacus,1265,1268,3
Mycobacterium_lacus,1847,1853,6
Mycobacterium_lacus,1854,1863,9
Mycobacterium_lacus,1865,1874,9
Mycobacterium_lacus,1881,1883,2
Mycobacterium_lacus,1885,1888,3
Mycobacterium_lacus,1890,1898,8
Mycobacterium_lacus,1902,1914,12
